DATAFLOW,LAST UPDATE,freq,unit,sex,frequenc,age,wstatus,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Poland,2025,67.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Portugal,2021,69.3,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Portugal,2023,74.8,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Portugal,2025,68.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Romania,2021,93.6,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Romania,2023,95.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Romania,2025,95.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Sweden,2021,34.1,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Sweden,2023,30.4,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Sweden,2025,30.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Slovenia,2021,59.1,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Slovenia,2023,63.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Slovenia,2025,62.3,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Slovakia,2021,74.3,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Slovakia,2023,74.1,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Slovakia,2025,72.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Austria,2021,69.8,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Austria,2023,69.1,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Austria,2025,68.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Belgium,2021,60.0,b,
