DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Business Intelligence (BI) software,Percentage of enterprises,Sweden,2025,2.02,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Business Intelligence (BI) software,Percentage of enterprises where persons employed have access to the internet,Germany,2023,3.62,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Business Intelligence (BI) software,Percentage of enterprises where persons employed have access to the internet,Spain,2023,2.35,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Business Intelligence (BI) software,Percentage of enterprises where persons employed have access to the internet,Spain,2025,3.65,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Business Intelligence (BI) software,Percentage of enterprises where persons employed have access to the internet,Portugal,2023,2.95,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Business Intelligence (BI) software,Percentage of enterprises where persons employed have access to the internet,Sweden,2025,2.24,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises,Germany,2023,33.34,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises,Spain,2023,21.94,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises,Portugal,2023,29.95,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises where persons employed have access to the internet,Germany,2023,33.95,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using ERP or CRM, or share supply chain management information electronically with suppliers or customers",Percentage of enterprises where persons employed have access to the internet,Spain,2023,26.28,,
